Name,Morningstar Category,YTD (Daily),1 Yr,3 Yr,5 Yr,10 Yr,Life of Fund,Expense Ratio - Net,Expense Ratio - Gross,Morningstar- Overall,Morningstar- 3yrs,Morningstar- 5yrs,Morningstar- 10yrs,Morningstar Category Risk,Standard Deviation,3 Year Sharpe Ratio,Beta,R2,Manager Tenure,Inception Date,Assets (Millions),Turnover Rates,Minimum Investment,Load (Y/N),Expense Ratio - Net,Expense Ratio - Gross,NTF,1-year Rank,3-year Rank,5-year Rank,10-year Rank,Average Maturity,Average Duration,Minimum Investment,7-Day Yield,30-Day Yield,Last Dividend,YTD (Daily),1 Month,3 Month,YTD,NAV ($),NAV Change ($),NAV Change (%),30-Day Yield (%),7-Day Yield (%),Minimum Investment,Last Dividend
13D Activist Fund Class A (DDDAX),Mid-Cap Blend,14.98%,55.68% (6/30/2021),14.16% (6/30/2021),16.73% (6/30/2021),-,15.17% (6/30/2021),1.76%,1.76%,4 (357 Rated),3 (357 Rated),4 (290 Rated),-,6,25.49 (06/30/2021),0.50 (06/30/2021),1.01 (06/30/2021),0.95 (06/30/2021),10 years,12/28/2011,$278.57,119% (09/30/2020),"$2,500.00",Y,1.76%,1.76%,N,  21% (389 Funds),  32% (357 Funds),  10% (290 Funds),-,-,-,"$2,500",-,-,$0.5664 (12/09/2020),14.98% (7/15/2021),-0.76% (6/30/2021),6.43% (6/30/2021),18.82% (6/30/2021),$27.86,-$0.18,-0.64%,-,-,"$2,500.00",$0.5664 (12/09/2020)
13D Activist Fund Class C (DDDCX),Mid-Cap Blend,14.55%,54.56% (6/30/2021),13.29% (6/30/2021),15.85% (6/30/2021),-,14.34% (6/30/2021),2.51%,2.51%,4 (357 Rated),3 (357 Rated),4 (290 Rated),-,6,25.47 (06/30/2021),0.47 (06/30/2021),1.01 (06/30/2021),0.95 (06/30/2021),10 years,12/28/2011,$278.57,119% (09/30/2020),"$2,500.00",N,2.51%,2.51%,N,  23% (389 Funds),  40% (357 Funds),  16% (290 Funds),-,-,-,"$2,500",-,-,$0.3821 (12/09/2020),14.55% (7/15/2021),-0.81% (6/30/2021),6.23% (6/30/2021),18.38% (6/30/2021),$27.24,-$0.17,-0.62%,-,-,"$2,500.00",$0.3821 (12/09/2020)
13D Activist Fund Class I (DDDIX),Mid-Cap Blend,15.14%,56.05% (6/30/2021),14.43% (6/30/2021),17.02% (6/30/2021),-,15.47% (6/30/2021),1.51%,1.51%,4 (357 Rated),3 (357 Rated),4 (290 Rated),-,6,25.48 (06/30/2021),0.51 (06/30/2021),1.01 (06/30/2021),0.95 (06/30/2021),10 years,12/28/2011,$278.57,119% (09/30/2020),"$1,000,000.00",N,1.51%,1.51%,N,  20% (389 Funds),  30% (357 Funds),   8% (290 Funds),-,-,-,"$1,000,000",-,-,$0.6407 (12/09/2020),15.14% (7/15/2021),-0.71% (6/30/2021),6.49% (6/30/2021),18.96% (6/30/2021),$28.60,-$0.18,-0.63%,-,-,"$1,000,000.00",$0.6407 (12/09/2020)
1789 Growth and Income Fund Class C (PSECX),Large Blend,13.10%,26.38% (6/30/2021),9.17% (6/30/2021),7.14% (6/30/2021),6.56% (6/30/2021),6.40% (6/30/2021),2.03%,2.03%,1 (1257 Rated),1 (1257 Rated),1 (1099 Rated),1 (820 Rated),6,14.33 (06/30/2021),0.55 (06/30/2021),0.71 (06/30/2021),0.83 (06/30/2021),4 years,01/21/2011,$32.04,5% (10/31/2020),"$2,500.00",N,2.03%,2.03%,N,  96% (1386 Funds),  98% (1257 Funds), 100% (1099 Funds), 100% (820 Funds),-,-,"$2,500",-,-,$0.0302 (12/30/2020),13.10% (7/15/2021),-0.88% (6/30/2021),4.87% (6/30/2021),11.40% (6/30/2021),$15.97,$0.06,0.38%,-,-,"$2,500.00",$0.0302 (12/30/2020)
1789 Growth and Income Fund Class P (PSEPX),Large Blend,13.74%,27.63% (6/30/2021),10.25% (6/30/2021),8.22% (6/30/2021),7.39% (6/30/2021),7.19% (6/30/2021),1.03%,1.03%,1 (1257 Rated),1 (1257 Rated),1 (1099 Rated),1 (820 Rated),6,14.32 (06/30/2021),0.62 (06/30/2021),0.71 (06/30/2021),0.83 (06/30/2021),4 years,01/21/2011,$32.04,5% (10/31/2020),"$2,500.00",N,1.03%,1.03%,N,  95% (1386 Funds),  97% (1257 Funds),  99% (1099 Funds),  99% (820 Funds),-,-,"$2,500",-,-,$0.0258 (03/31/2021),13.74% (7/15/2021),-0.87% (6/30/2021),5.08% (6/30/2021),11.91% (6/30/2021),$16.18,$0.07,0.43%,-,-,"$2,500.00",$0.0258 (03/31/2021)
AAMA Equity Fund (AMFEX),Large Blend,14.14%,33.64% (6/30/2021),13.87% (6/30/2021),-,-,13.62% (6/30/2021),1.21%,1.21%,2 (1257 Rated),2 (1257 Rated),-,-,6,16.43 (06/30/2021),0.76 (06/30/2021),0.88 (06/30/2021),0.99 (06/30/2021),4 years,06/30/2017,$433.66,22% (06/30/2020),"$10,000.00",N,1.21%,1.21%,N,  88% (1386 Funds),  87% (1257 Funds),-,-,-,-,"$10,000",-,-,$0.0628 (12/30/2020),14.14% (7/15/2021),1.31% (6/30/2021),6.76% (6/30/2021),12.68% (6/30/2021),$16.47,-$0.06,-0.36%,-,-,"$10,000.00",$0.0628 (12/30/2020)
AAM/Bahl & Gaynor Income Growth Fund Class A (AFNAX),Large Blend,13.70%,30.83% (6/30/2021),13.53% (6/30/2021),12.31% (6/30/2021),-,11.74% (6/30/2021),1.09%,1.10%,1 (1257 Rated),2 (1257 Rated),1 (1099 Rated),-,6,16.17 (06/30/2021),0.76 (06/30/2021),0.84 (06/30/2021),0.92 (06/30/2021),9 years,07/05/2012,"$2,052.96",16% (06/30/2020),"$2,500.00",Y,1.09%,1.10%,N,  92% (1386 Funds),  88% (1257 Funds),  95% (1099 Funds),-,-,-,"$2,500",-,1.26% (06/30/2021),$0.03686 (07/01/2021),13.70% (7/15/2021),0.26% (6/30/2021),4.95% (6/30/2021),11.62% (6/30/2021),$23.39,$0.04,0.17%,-,-,"$2,500.00",$0.03686 (07/01/2021)
AAM/Bahl & Gaynor Income Growth Fund Class C (AFYCX),Large Blend,13.21%,29.82% (6/30/2021),12.66% (6/30/2021),11.46% (6/30/2021),-,10.85% (6/30/2021),1.84%,1.85%,1 (1257 Rated),2 (1257 Rated),1 (1099 Rated),-,6,16.15 (06/30/2021),0.70 (06/30/2021),0.84 (06/30/2021),0.92 (06/30/2021),9 years,07/05/2012,"$2,052.96",16% (06/30/2020),"$2,500.00",N,1.84%,1.85%,N,  93% (1386 Funds),  92% (1257 Funds),  97% (1099 Funds),-,-,-,"$2,500",-,0.60% (06/30/2021),$0.02287 (07/01/2021),13.21% (7/15/2021),0.22% (6/30/2021),4.73% (6/30/2021),11.20% (6/30/2021),$23.15,$0.04,0.17%,-,-,"$2,500.00",$0.02287 (07/01/2021)
AAM/Bahl & Gaynor Income Growth Fund Class I (AFNIX),Large Blend,13.85%,31.19% (6/30/2021),13.81% (6/30/2021),12.58% (6/30/2021),-,12.00% (6/30/2021),0.84%,0.85%,2 (1257 Rated),2 (1257 Rated),2 (1099 Rated),-,6,16.16 (06/30/2021),0.77 (06/30/2021),0.84 (06/30/2021),0.92 (06/30/2021),9 years,07/05/2012,"$2,052.96",16% (06/30/2020),"$25,000.00",N,0.84%,0.85%,N,  91% (1386 Funds),  87% (1257 Funds),  94% (1099 Funds),-,-,-,"$25,000",-,1.59% (06/30/2021),$0.0416 (07/01/2021),13.85% (7/15/2021),0.30% (6/30/2021),4.98% (6/30/2021),11.76% (6/30/2021),$23.45,$0.05,0.21%,-,-,"$25,000.00",$0.0416 (07/01/2021)
Aasgard Small & Mid-Cap Fund No Load Class (AADGX),Mid-Cap Blend,14.49%,35.78% (6/30/2021),9.49% (6/30/2021),11.72% (6/30/2021),-,12.29% (6/30/2021),1.00%,1.24%,2 (357 Rated),2 (357 Rated),2 (290 Rated),-,6,19.55 (06/30/2021),0.42 (06/30/2021),0.79 (06/30/2021),0.93 (06/30/2021),5 years,04/01/2016,$77.91,70.47% (03/31/2021),"$2,500.00",N,1.00%,1.24%,N,  94% (389 Funds),  88% (357 Funds),  81% (290 Funds),-,-,-,"$2,500",-,-,$0.03073445 (06/22/2021),14.49% (7/15/2021),-1.55% (6/30/2021),3.22% (6/30/2021),14.77% (6/30/2021),$16.33,-$0.01,-0.06%,-,-,"$2,500.00",$0.03073445 (06/22/2021)
AB Concentrated Growth Fund Class A (WPASX),Large Growth,19.37%,44.79% (6/30/2021),23.80% (6/30/2021),21.85% (6/30/2021),16.49% (6/30/2021),10.51% (6/30/2021),1.03%,1.03%,3 (1138 Rated),3 (1138 Rated),3 (1024 Rated),3 (761 Rated),6,20.07 (06/30/2021),1.12 (06/30/2021),1.06 (06/30/2021),0.95 (06/30/2021),12 years,02/28/1994,"$1,358.11",23% (06/30/2020),"$2,500.00",Y,1.03%,1.03%,Y,  21% (1239 Funds),  34% (1138 Funds),  47% (1024 Funds),  40% (761 Funds),-,-,"$2,500",-,-,$   0.00 (12/16/2015),19.37% (7/15/2021),3.45% (6/30/2021),9.93% (6/30/2021),16.82% (6/30/2021),$59.48,-$0.20,-0.34%,-,-,"$2,500.00",$   0.00 (12/16/2015)
AB Concentrated Growth Fund Class C (WPCSX),Large Growth,18.89%,43.71% (6/30/2021),22.87% (6/30/2021),20.94% (6/30/2021),15.62% (6/30/2021),9.69% (6/30/2021),1.78%,1.78%,3 (1138 Rated),3 (1138 Rated),3 (1024 Rated),3 (761 Rated),6,20.09 (06/30/2021),1.07 (06/30/2021),1.06 (06/30/2021),0.95 (06/30/2021),12 years,02/28/1994,"$1,358.11",23% (06/30/2020),"$2,500.00",N,1.78%,1.78%,N,  28% (1239 Funds),  45% (1138 Funds),  58% (1024 Funds),  57% (761 Funds),-,-,"$2,500",-,-,$   0.00 (12/16/2015),18.89% (7/15/2021),3.39% (6/30/2021),9.72% (6/30/2021),16.40% (6/30/2021),$55.82,-$0.19,-0.34%,-,-,"$2,500.00",$   0.00 (12/16/2015)
